X	Y	NOMBRE	TIPO	DEPARTAMEN	LOCALIDAD	DIRECCION	TELEFONO
-64.68195343	-35.06982422	AER Rancul	Agencia de Extensión Rural	RANCUL	Rancul	Avenida Colon y Alverar (6214) Rancul	02331-498470
-63.75950241	-35.65878677	AER General Pico	Agencia de Extensión Rural	MARACO	General Pico	Calle 13 857 (6360)	02302-433766
-65.43605804	-36.21860123	AER Victorica	Agencia de Extensión Rural	LOVENTUE	Victorica	Calle 15 1475 (6319) Victorica	02338-432381
-64.29059601	-36.63605499	CR La Pampa-San Luis	Santa Rosa	CAPITAL	Santa Rosa	Av. Spinetto 785 (6300) Santa Rosa	02954-430910
-67.71451569	-37.77246094	AER Colonia 25 de Mayo	Agencia de Extensión Rural	PUELEN	25 de Mayo	General Pico 720 (8201) 25 de Mayo	0299-4948219
-64.59938812	-37.37308121	AER General Acha	Agencia de Extensión Rural	UTRACAN	General Acha	Avellaneda 530 (8200) General Acha	02952-432233
-65.65090179	-37.33189774	Campo Anexo Chacharramendi	Campo Anexo	UTRACAN	Chacharramendi	Ruta Provincial 20 a 11 km al oeste de Chacharramendi (8201)	No tiene
-63.53462601	-37.66664505	AER Guatrache	Agencia de Extensión Rural	GUATRACHE	Guatrache	Las Heras 76 (6360) Guatrache	02924-492008
-64.01354539	-36.51395886	"EEA Anguil ""Ing. Agr. Guillermo Covas"""	Estacion Experimental Agropecuaria	Capital	Anguil	Ruta Nacional Nro. 5 Km 580 (6326) Anguil	02954-495057
-64.00691566	-36.51395886	AER Anguil	Agencia de Extension Rural	Capital	Anguil	Ruta Nacional Nro. 5 Km 580 (6326) Anguil	02954-495057
-64.2853645	-36.63329408	OIT Santa Rosa	Oficina de Información Técnica	Capital	Santa Rosa	Av. Spinetto 785 (6300) Santa Rosa	02954 431976
